date,state,city_or_county,address,n_killed,n_injured,incident_url,source_url
"September 18, 2013",Tennessee,Memphis,1033 Whitaker,1,4,http://www.gunviolencearchive.org/incident/480470,http://www.14news.com/story/23886911/mother-calls-for-justice-after-son-dies-in-shooting-spree
"September 19, 2013",Illinois,Chicago,1809 W 50th St,0,13,http://www.gunviolencearchive.org/incident/480521,http://www.nydailynews.com/news/national/chicago-toddler-smiling-shot-face-article-1.1472401
"September 11, 2013",New York,New York,204 Varick St,0,4,http://www.gunviolencearchive.org/incident/479774,http://gothamist.com/2013/09/13/fat_trels_manager_says_shooting_at.php
"September 24, 2013",West Virginia,Huntington,300 W 7th Ave,0,6,http://www.gunviolencearchive.org/incident/480691,http://www.wvnstv.com/story/23520830/update-suspect-in-huntington-wv-shooting-which-injured-6-apprehended-in-ny
"September 10, 2013",Connecticut,Bridgeport,Reservoir Ave and Grandview Ave,1,4,http://www.gunviolencearchive.org/incident/479734,http://www.nbcconnecticut.com/news/local/bridgeport-murder-homicide-fatal-shooting-arrest-police-249316381.html
"September 17, 2013",California,Stockton,700 block of North Airport Way,2,3,http://www.gunviolencearchive.org/incident/480394,http://www.kcra.com/news/local-news/news-stockton/multiple-victims-reported-in-stockton-market-shooting/21992392
"September 17, 2013",Michigan,Lansing,1500 block of Ottawa Street,0,4,http://www.gunviolencearchive.org/incident/480415,http://www.lansingstatejournal.com/story/news/local/2014/08/12/lansing-teen-charged-in-13-shooting-near-sexton-high-school/13963509/
"September 17, 2013",Nevada,Las Vegas,1300 block of Bartlett Avenue,0,4,http://www.gunviolencearchive.org/incident/480453,https://www.reviewjournal.com/news/crime-courts/las-vegas-police-seek-information-drive-shooting
"September 17, 2013",Florida,Kissimmee,Flying Fortress Avenue,0,5,http://www.gunviolencearchive.org/incident/480462,http://articles.orlandosentinel.com/2013-09-19/news/os-kissimmee-shooting-victims-mum-20130919_1_gunshot-victims-stray-bullet-mum
"September 22, 2013",Michigan,Muskegon,149 Ottawa Ave,2,4,http://www.gunviolencearchive.org/incident/480669,http://www.mlive.com/news/muskegon/index.ssf/2013/10/prosecutor_car_not_bullet_kill.html
"September 22, 2013",Kansas,Wichita,100 block of N. Mead,1,6,http://www.gunviolencearchive.org/incident/480646,http://www.kake.com/home/headlines/224750592.html
"September 22, 2013",Missouri,Saint Louis,3916 North Florissant Road,1,3,http://www.gunviolencearchive.org/incident/480661,http://www.riverfronttimes.com/newsblog/2013/09/23/randy-lee-jones-21-killed-three-injured-in-north-st-louis-shooting-homicide-no-75
"September 15, 2013",Georgia,Snellville,4630 Anderson Livsey Lane,3,1,http://www.gunviolencearchive.org/incident/480058,http://www.gwinnettdailypost.com/archive/snellville-triple-murder-suspect-arrested-in-new-orleans/article_764d0ba7-3ec5-50f7-8e9e-acf354999c99.html
"September 15, 2013",Washington,Yakima,2209 W Nob Hill Blvd,0,6,http://www.gunviolencearchive.org/incident/480071,http://kimatv.com/news/local/police-shooting-leaves-6-people-hurt-1-in-critical-condition
"September 15, 2013",Ohio,Toledo,Woodstock Ave,1,0,http://www.gunviolencearchive.org/incident/1342495,https://nbc24.com/news/local/arrest-made-in-2013-cold-case-murder
"September 15, 2013",Colorado,Colorado Springs,1609 South Nevada,0,5,http://www.gunviolencearchive.org/incident/480104,http://gazette.com/5-people-wounded-in-colorado-springs-shootings/article/1506251
"September 14, 2013",North Carolina,Marion,80 Finley Road,0,4,http://www.gunviolencearchive.org/incident/479821,http://www.mcdowellnews.com/news/police-vortex-gunman-in-custody/article_6294315c-1f1d-11e3-9e10-0019bb30f31a.html
"September 12, 2013",District of Columbia,Washington,First Street and Pierce Street NW,1,3,http://www.gunviolencearchive.org/incident/479757,http://homicidewatch.org/category/victims/page/72/
"September 12, 2013",Tennessee,Crab Orchard,N/A,4,0,http://www.gunviolencearchive.org/incident/479747,http://www.wsmv.com/story/23415177/4-people-found-dead-inside-car-in-cumberland-county
"September 5, 2013",North Carolina,Charlotte,2500 block of Pinckney Avenue,0,4,http://www.gunviolencearchive.org/incident/479682,http://www.crimeincharlotte.com/arrest-made-in-drive-by-shooting-during-anti-violence-vigil/#.Vo1uZlIYFuo
"September 20, 2013",California,Long Beach,6500 block of Rose Avenue,2,2,http://www.gunviolencearchive.org/incident/480582,http://losangeles.cbslocal.com/2013/09/21/2-men-dead-2-women-wounded-in-long-beach-shooting/
"September 20, 2013",Texas,Rice,700 block of NW 0149,5,0,http://www.gunviolencearchive.org/incident/480605,http://www.corsicanadailysun.com/news/local_news/update-rice-deaths-suspected-as-murder-suicide/article_250814e0-365b-5ed2-ac59-d5502b76dafa.html
"September 21, 2013",Florida,Palm Beach,2600 block of Forest Hill Boulevard,0,4,http://www.gunviolencearchive.org/incident/480632,http://www.wptv.com/news/region-c-palm-beach-county/west-palm-beach/envy-nightclub-shooting-4-shot-in-palm-springs-club-on-forest-hill-blvd#ixzz2fdVoWi4r
"September 25, 2013",North Carolina,Haw River,1003 W. Main St,0,4,http://www.gunviolencearchive.org/incident/480700,http://www.thetimesnews.com/article/20140604/news/306049850
"September 29, 2013",Illinois,Chicago,6000 block of South Indiana Avenue,0,4,http://www.gunviolencearchive.org/incident/480730,http://chicago.cbslocal.com/2013/09/28/four-hurt-in-washington-park-shooting/
"September 7, 2013",Missouri,Saint Louis,5000 block of Durant Ave,1,3,http://www.gunviolencearchive.org/incident/479727,http://www.stltoday.com/news/local/crime-and-courts/st-louis-man-charged-with-shooting-from-car-killing-man/article_5ed149cc-789e-5187-befc-50288eca5f61.html
"September 7, 2013",Indiana,Gary,9300 block of Sunrise Boulevard,2,4,http://www.gunviolencearchive.org/incident/479709,https://usgunviolence.wordpress.com/2013/09/07/mass-shooting-killed-davaughn-pitts-gary-in/
"September 16, 2013",District of Columbia,Washington Navy Yard,1336 Isaac Hull Ave,13,3,http://www.gunviolencearchive.org/incident/480366,https://www.washingtonpost.com/local/police-search-for-active-shooter-on-grounds-of-washington-navy-yard-in-southeast-dc/2013/09/16/b1d72b9a-1ecb-11e3-b7d1-7153ad47b549_story.html
"September 27, 2013",Ohio,Zanesville,753 Putnam Ave,0,4,http://www.gunviolencearchive.org/incident/480720,http://www.zanesvilletimesrecorder.com/story/news/local/2015/03/30/wilson-gets-years-life-shootings/70687002/
