date,state,city_or_county,address,n_killed,n_injured,incident_url,source_url
"June 9, 2013",Pennsylvania,York,600 block of West Princess Street,0,4,http://www.gunviolencearchive.org/incident/487645,http://fox43.com/2013/06/11/4-injured-in-late-night-york-city-shooting/
"June 21, 2013",Virginia,Norfolk,1225 Tidewater Drive,0,6,http://www.gunviolencearchive.org/incident/488505,http://www.13newsnow.com/story/news/2014/09/09/14816936/
"June 21, 2013",North Carolina,Greenville,205 Greenville Blvd SW,0,5,http://www.gunviolencearchive.org/incident/488547,http://www.wcti12.com/news/suspect-in-walmart-shooting-expected-to-make-plea/29380176
"June 21, 2013",Illinois,Chicago,2900 block of North Kilpatrick Avenue,1,3,http://www.gunviolencearchive.org/incident/488426,http://chicago.cbslocal.com/tag/miguel-vazquez/
"June 25, 2013",Illinois,Chicago,73rd Street and King Drive,1,4,http://www.gunviolencearchive.org/incident/489987,http://www.chicagotribune.com/news/local/breaking/chi-mother-of-slain-teen-asks-what-happened-to-my-baby-20130710-story.html
"June 2, 2013",Indiana,Indianapolis,1913 East 46th Street,0,4,http://www.gunviolencearchive.org/incident/487266,http://www.indystar.com/article/20130602/NEWS02/306020016/4-shot-when-violence-breaks-out-at-large-Northside-teen-party
"June 2, 2013",Virginia,Virginia Beach,4000 block of Roebling Lane,0,7,http://www.gunviolencearchive.org/incident/487271,http://articles.dailypress.com/2013-06-02/news/dp-nws-virginia-beach-shooting_1_virginia-beach-shooting-sentara-leigh
"June 2, 2013",Georgia,Lagrange,Union Street,0,7,http://www.gunviolencearchive.org/incident/487435,https://www.facebook.com/permalink.php?id=313979908643128&story_fbid=540014446039672
"June 16, 2013",Illinois,Chicago,900block of East 79th Street,1,3,http://www.gunviolencearchive.org/incident/488134,http://wgntv.com/2013/06/16/shooting-in-chatham-club-kills-one-injures-three/
"June 14, 2013",North Carolina,High Point,2201 Little Avenue,0,5,http://www.gunviolencearchive.org/incident/487715,http://www.hpenews.com/news/shooting-leaves-five-injured/article_492d2492-3656-5c9a-96ed-58de798d82fd.html
"June 15, 2013",Rhode Island,Providence,256 Hartford Ave,1,3,http://www.gunviolencearchive.org/incident/488992,http://wpri.com/2014/12/19/luis-fat-boy-gonzalez-to-learn-punishment/
"June 15, 2013",Tennessee,Nashville,135 Brinkhaven Ave,0,4,http://www.gunviolencearchive.org/incident/487833,http://www.timesfreepress.com/news/local/story/2013/jun/16/man-wanted-shooting-nashville-family-surrenders/110980/
"June 15, 2013",Texas,Houston,9780 Bissonnet,1,3,http://www.gunviolencearchive.org/incident/487891,http://www.houstontx.gov/police/nr/2013/jun/nr061713-6.htm
"June 10, 2013",Missouri,Saint Louis,4700 block of Highland Ave,0,6,http://www.gunviolencearchive.org/incident/487659,http://fox2now.com/2013/06/12/man-charged-with-shooting-6-people-monday-night/
"June 10, 2013",Illinois,Chicago,5700 block of South Sangamon Street,1,4,http://www.gunviolencearchive.org/incident/487670,http://abc7chicago.com/archive/9134576/
"June 22, 2013",Maryland,Baltimore,700 block of N. Kenwood Avenue,1,4,http://www.gunviolencearchive.org/incident/488833,https://www.baltimorebrew.com/2013/06/26/police-chief-defends-himself-in-wake-of-murder-spike/
"June 22, 2013",Rhode Island,Providence,55 Curtis,0,4,http://www.gunviolencearchive.org/incident/488970,http://turnto10.com/archive/four-people-shot-overnight-in-providence
"June 1, 2013",Wisconsin,Milwaukee,4126 N Teutonia Ave,0,4,http://www.gunviolencearchive.org/incident/487261,http://www.jsonline.com/news/regional-news-briefs-b9924216z1-209817861.html
"June 1, 2013",California,Vallejo,1st block of Linfield Drive,2,2,http://www.gunviolencearchive.org/incident/489314,http://www.sfgate.com/crime/article/2-killed-2-hurt-in-Vallejo-shooting-4569496.php
"June 29, 2013",South Carolina,North Charleston,4400 Dorchester Road; Suite 115,3,1,http://www.gunviolencearchive.org/incident/490150,http://www.ksla.com/story/23146180/attorneys-for-cycle-gear-murder-suspect-request-bond-hearing
"June 24, 2013",Missouri,Kansas City,1711 Kansas Avenue,1,3,http://www.gunviolencearchive.org/incident/489934,http://fox4kc.com/2013/06/24/1-dead-2-injured-in-kc-shooting/
"June 30, 2013",Colorado,Aurora,2300 block of Paris St,0,4,http://www.gunviolencearchive.org/incident/490166,http://kdvr.com/2013/06/30/police-4-shot-at-aurora-house-party/
"June 30, 2013",New York,Brooklyn,616 E. 52nd Street,0,9,http://www.gunviolencearchive.org/incident/490226,http://www.wptv.com/news/national/brooklyn-shooting-tyrone-brown-arrested-in-connection-with-crime-in-east-flatbush-neighborhood
"June 23, 2013",Tennessee,Chattanooga,1501 Dodds Ave,1,3,http://www.gunviolencearchive.org/incident/489061,http://www.wrcbtv.com/story/29392336/crime-stoppers-two-years-since-demetrius-davis-was-murdered
"June 23, 2013",California,Sacramento,Sea Drift Way,1,3,http://www.gunviolencearchive.org/incident/489096,http://sacda.org/media/2015-archives/9915-gang-member-convicted-1st-degree-murder-shooting-occupied-vehicle/
"June 23, 2013",Missouri,Kansas City,1917 Prospect Ave,1,8,http://www.gunviolencearchive.org/incident/489105,http://fox4kc.com/2013/06/23/prospect-shooting-spree-puts-nine-in-hospital-two-critically-hurt/
"June 23, 2013",Louisiana,New Orleans,5700 block of Wickfield Drive,0,4,http://www.gunviolencearchive.org/incident/489121,http://www.wwltv.com/story/news/crime/2014/09/03/14595744/
"June 23, 2013",Virginia,Virginia Beach,4600 block of Columbus Street,1,4,http://www.gunviolencearchive.org/incident/489129,http://www.13newsnow.com/story/news/2014/09/09/14817524/
"June 27, 2013",California,Three Rivers,39553-39833 Sierra Dr,2,2,http://www.gunviolencearchive.org/incident/490048,http://fsg.stparchive.com/Archive/FSG/FSG07032013p01.php
"June 28, 2013",Illinois,Chicago,4800 block of North Sheridan Road,0,6,http://www.gunviolencearchive.org/incident/490115,http://www.huffingtonpost.com/2013/06/29/uptown-driveby-shooting-6_n_3521906.html?utm_hp_ref=chicago
"June 7, 2013",California,Santa Monica,2036 Yorkshire Ave,6,1,http://www.gunviolencearchive.org/incident/489581,http://www.huffingtonpost.com/2013/06/07/santa-monica-college-shooting_n_3404689.html
