date,state,city_or_county,address,n_killed,n_injured,incident_url,source_url
"April 25, 2013",Ohio,Oberlin,500 block of West College Street,0,4,http://www.gunviolencearchive.org/incident/489185,http://chronicle.northcoastnow.com/2013/11/08/jury-refuses-indictment-in-oberlin-shooting-case/
"April 9, 2013",Pennsylvania,Philadelphia,Somerset Street and Lee Street,1,3,http://www.gunviolencearchive.org/incident/484268,http://guncrisis.org/2013/04/10/quadruple-shooting-sets-off-violent-night-in-philadelphia/
"April 18, 2013",Ohio,Akron,Kimlyn Circle,4,0,http://www.gunviolencearchive.org/incident/484317,http://www.huffingtonpost.com/2013/04/19/ohio-basement-murders-cop_n_3114243.html
"April 7, 2013",New York,New York (Manhattan),900 Garden Way,1,3,http://www.gunviolencearchive.org/incident/483872,http://www.jcpost.com/2013/04/08/riley-county-police-make-arrest-in-fatal-shooting-investigation/
"April 7, 2013",California,Long Beach,300 block of East Home Street,1,3,http://www.gunviolencearchive.org/incident/483878,http://patch.com/california/longbeach-ca/man-dies-from-gunshot-wound
"April 10, 2013",California,Vallejo,1800 block of Mini Drive,0,4,http://www.gunviolencearchive.org/incident/484279,http://abclocal.go.com/story?section=news/local/north_bay&id=9061192
"April 28, 2013",North Carolina,Charlotte,William Reynolds Drive,0,5,http://www.gunviolencearchive.org/incident/485874,http://www.wcnc.com/story/news/local/2014/07/02/10993474/
"April 28, 2013",Pennsylvania,Chester,Rose and Upland Street,1,3,http://www.gunviolencearchive.org/incident/485885,"http://Several men inside the vehicle pointed weapons out of the window and opened fire,"
"April 28, 2013",Tennessee,Jackson,438 East Main Street,2,2,http://www.gunviolencearchive.org/incident/485979,https://www.wbbjtv.com/2014/02/19/jury-returns-with-verdict-in-downtown-double-homicide/
"April 24, 2013",Illinois,Manchester,East Street,6,1,http://www.gunviolencearchive.org/incident/485811,http://fox2now.com/2013/04/25/family-needs-help-to-bury-manchester-il-shooting-victims/
"April 6, 2013",South Carolina,Greenwood,Tabor Street,1,4,http://www.gunviolencearchive.org/incident/483861,http://gwdtoday.com/main.asp?SectionID=2&SubSectionID=27&ArticleID=24847
"April 22, 2013",Illinois,Chicago (Englewood),5700 block of South Lowe Avenue,0,4,http://www.gunviolencearchive.org/incident/484351,https://www.dnainfo.com/chicago/20130422/englewood/four-wounded-afternoon-shooting-englewood
"April 22, 2013",Louisiana,Harvey,2300 block of Lapalco Boulevard,0,5,http://www.gunviolencearchive.org/incident/485746,http://theadvocate.com/news/neworleans/13833714-148/high-profile-harvey-hustlers-trial-underway
"April 27, 2013",Florida,Williston,County Road 318,1,3,http://www.gunviolencearchive.org/incident/485821,https://www.youtube.com/watch?v=AzC_jFR7k6c
"April 21, 2013",Washington,Federal Way,33300 block of 18th Lane South,5,0,http://www.gunviolencearchive.org/incident/484333,http://blogs.seattletimes.com/today/2013/04/5-dead-in-federal-way-shooting/
"April 14, 2013",Kentucky,Lexington,750 East New Circle Rd,1,4,http://www.gunviolencearchive.org/incident/484287,http://www.wlky.com/news/local-news/kentucky-news/police-make-arrest-in-bowling-alley-shooting/20644068
"April 14, 2013",Arizona,Phoenix,12400 North 25th Avenue,2,4,http://www.gunviolencearchive.org/incident/484307,http://ktar.com/story/71788/2-dead-4-wounded-in-drive-by-shooting-in-north-phoenix/
