date,state,city_or_county,address,n_killed,n_injured,incident_url,source_url
"January 3, 2014",Mississippi,Hattiesburg,900 Broadway Drive ,0,1,http://www.gunviolencearchive.org/incident/93512,http://www.wdam.com/story/24376879/suspect-in-custody-after
"January 3, 2014",New York,Manhattan,110 Christopher Street,0,0,http://www.gunviolencearchive.org/incident/92718,http://www.nbcnewyork.com/news/local/Greenwich-village-snow-carjacking-238639041.html
"January 3, 2014",Texas,Texas City,1400 block of 19th Avenue North,0,0,http://www.gunviolencearchive.org/incident/94635,http://www.khou.com/news/local/89-year-old-victimized-twice-in-3-years-gets-into-shootout-with-suspect--239629961.html
"January 3, 2014",Nevada,Sparks,N/A,1,0,http://www.gunviolencearchive.org/incident/92992,http://www.ktvn.com/story/24359945/man-kills-himself-outside-sparks-hospital
"January 3, 2014",Michigan,Detroit,15000 block of Ardmore,0,1,http://www.gunviolencearchive.org/incident/92616,http://detroit.cbslocal.com/2014/01/03/state-removes-children-left-at-crime-scene-in-detroit/
"January 3, 2014",Kentucky,Lexington,Chestnut Street and East Fifth,0,2,http://www.gunviolencearchive.org/incident/92778,http://www.lex18.com/news/lex-18-crime-stoppers-lexington-shelter-shooting-suspect-identified/
"January 3, 2014",Washington,Walla Walla,Mojonnier and Beets ,1,0,http://www.gunviolencearchive.org/incident/92978,http://www.tri-cityherald.com/2014/01/04/2759411/body-found-in-walla-walla-identified.html
"January 3, 2014",Washington,Bellevue,Wiburton Park,1,0,http://www.gunviolencearchive.org/incident/92593,http://www.king5.com/news/crime/Bellevue-shots-fired-238586791.html
"January 3, 2014",Louisiana,Shreveport,2100 block of Grimmett Dr.,0,1,http://www.gunviolencearchive.org/incident/92768,http://www.ksla.com/story/24360106/teen-injured-in-n-shreveport-shooting
"January 3, 2014",Washington,Spokane,Division St,0,1,http://www.gunviolencearchive.org/incident/92973,http://www.spokesman.com/stories/2014/jan/04/two-shootings-friday-unrelated/
"January 3, 2014",Mississippi,Houston,County Road 190,0,1,http://www.gunviolencearchive.org/incident/92573,http://www.wcbi.com/wordpress/chickasaw-county-hunting-accident-injures-teen
"January 3, 2014",Louisiana,New Orleans,1900 block of Newton Street,1,0,http://www.gunviolencearchive.org/incident/93678,http://www.columbiatribune.com/news/crime/new-orleans-man-arrested-on-columbia-murder-warrant/article_96d7145c-78aa-11e3-af37-00
"January 3, 2014",Massachusetts,Worcester,Southgate Street,0,0,http://www.gunviolencearchive.org/incident/92759,http://www.masslive.com/news/worcester/index.ssf/2014/01/worcester_police_search_for_tw_1.html#incart_river
"January 3, 2014",Mississippi,Laurel,1400 block of Woodlawn Drive ,2,0,http://www.gunviolencearchive.org/incident/92936,http://www.wdam.com/story/24410659/four-suspects-in-custody-in-connection-to-shooting-death-of-two-laurel-residents
"January 3, 2014",Michigan,Detroit,17300 block of Lenore St,1,0,http://www.gunviolencearchive.org/incident/92445,http://www.wxyz.com/dpp/news/detroit-police-investigating-murder-of-23-year-old
"January 3, 2014",Mississippi,Meridian,2300 block of 8th Street,0,1,http://www.gunviolencearchive.org/incident/93519,http://www.wtok.com/home/headlines/Arrest-Made-in-Friday-Shooting-238984271.html
"January 3, 2014",Pennsylvania,Philadelphia,4257 Ormond Street,2,0,http://www.gunviolencearchive.org/incident/92755,http://guncrisis.org/2014/01/06/philadlephia-police-department-releases-more-information-on-recent-shootings/
"January 3, 2014",Minnesota,Saint Paul,Maryland and White Bear Av,1,1,http://www.gunviolencearchive.org/incident/92929,http://www.startribune.com/local/stpaul/238902681.html
"January 3, 2014",Iowa,Des Moines,30th Street and Forest Avenue,0,1,http://www.gunviolencearchive.org/incident/92436,http://blogs.desmoinesregister.com/dmr/index.php/2014/01/02/non-life-threatening-gun-shot-wound-sustained-in-early-morning-argum
"January 3, 2014",North Carolina,Winston-Salem,2730 Manchester St.,1,0,http://www.gunviolencearchive.org/incident/92788,http://www.news-record.com/news/article_c1d3d330-754d-11e3-a00d-001a4bcf6878.html
"January 3, 2014",North Carolina,Winston-Salem,Phelps Drive,1,0,http://www.gunviolencearchive.org/incident/93865,http://www.digtriad.com/news/local/story.aspx
"January 3, 2014",Ohio,Columbus,2200 block of Siskin Ave,1,0,http://www.gunviolencearchive.org/incident/92780,http://www.dispatch.com/content/stories/local/2014/01/05/man-had-drawn-police-twice-before-friday.html
"January 3, 2014",Montana,Billings,3407 Wasco Ave,1,0,http://www.gunviolencearchive.org/incident/92675,https://billingsgazette.com/news/state-and-regional/crime-and-courts/man-charged-in-lockwood-killing-surprises-prosecutors-pleads-guilty-on/article_2825d396-2049-5052-a967-1a2afe68565a.html
"January 3, 2014",Maryland,Temple Hills,3101 Branch Ave,0,1,http://www.gunviolencearchive.org/incident/93094,https://www.washingtonpost.com/local/crime/gunfire-at-metro-station-in-prince-georges-county-one-minor-injury-reported/2014/01/04
"January 3, 2014",South Carolina,Columbia,1776 Burning Tree Road,0,1,http://www.gunviolencearchive.org/incident/94054,http://www.wistv.com/story/24398414/man-injured-in-armed-robbery-at-hotel
"January 2, 2014",Maryland,Baltimore,Kavon and Shamrock Avenues,1,0,http://www.gunviolencearchive.org/incident/92679,http://www.foxbaltimore.com/news/features/top-stories/stories/surviving-victim-thursday-night-shooting-grave-condition-24419.sht
"January 2, 2014",Oregon,Portland,7000 NE Airport Way,0,0,http://www.gunviolencearchive.org/incident/217095,http://blog.tsa.gov/2014_01_03_archive.html
"January 2, 2014",Maryland,Baltimore,1800 block of North Patterson Park Avenue,2,0,http://www.gunviolencearchive.org/incident/92668,"http://www.baltimoresun.com/news/maryland/baltimore-crime-beat/bs-md-ci-shooting-homicide-20140104,0,1370194.story"
"January 2, 2014",California,National City,East 18th and Grove ,1,0,http://www.gunviolencearchive.org/incident/93348,http://www.nbcsandiego.com/news/local/National-City-gunshot-death-238532531.html
"January 2, 2014",Indiana,South Bend,2300 block of West Bergan St,0,1,http://www.gunviolencearchive.org/incident/92639,http://www.southbendtribune.com/news/crime/police-investigating-home-invasion-shooting/article_ffde0a20-7498-11e3-8b9a-001a4bcf6
"January 2, 2014",South Carolina,Rock Hill,Cherry Road,0,0,http://www.gunviolencearchive.org/incident/93311,http://www.heraldonline.com/2014/01/04/5550052/gun-discharges-during-rock-hill.html
"January 2, 2014",South Carolina,Mullins,West Laurel Street,0,1,http://www.gunviolencearchive.org/incident/92517,http://www.carolinalive.com/news/story.aspx
"January 2, 2014",Arkansas,Little Rock,Colonel Glenn Road,0,1,http://www.gunviolencearchive.org/incident/92904,http://www.arkansasonline.com/news/2014/jan/03/robber-steals-money-inflicts-four-inch-cut-lr-mans/
"January 2, 2014",Pennsylvania,Philadelphia,34th and Haverford Avenue,0,1,http://www.gunviolencearchive.org/incident/220357,http://blog.phillypolice.com/2014/02/wanted-suspect-for-shooting-in-the-16th-district-video/
"January 2, 2014",Georgia,Marietta,Windy Hill Road,1,0,http://www.gunviolencearchive.org/incident/92494,https://www.ajc.com/news/news/local/police-find-womans-body-in-car-at-marietta-apartme/ncYy2/
"January 2, 2014",Colorado,Fort Collins,Muir Lane,1,0,http://www.gunviolencearchive.org/incident/92898,https://www.coloradoan.com/article/20140103/NEWS01/301030055/Shooting-death-Fort-Collins-neighborhood-confirmed-suicide
"January 2, 2014",Arizona,Tucson,7250 S Tucson Blvd,0,0,http://www.gunviolencearchive.org/incident/217097,http://blog.tsa.gov/2014_01_03_archive.html
