date,state,city_or_county,address,n_killed,n_injured,incident_url,source_url
"May 6, 2013",Pennsylvania,Johnstown,Horner and Messenger streets,0,4,http://www.gunviolencearchive.org/incident/486068,http://www.tribdem.com/news/local_news/police-question-men-wounded-in-shooting/article_30bc352d-dba2-5075-887b-4c1d3665cbcf.html
"May 16, 2013",Pennsylvania,Philadelphia,2600 block of Daggett Street,0,4,http://www.gunviolencearchive.org/incident/486334,http://articles.philly.com/2013-05-17/news/39312815_1_graze-wound-stray-bullet-stable-condition
"May 10, 2013",California,Los Angeles,1600 block of West 205th Street,3,1,http://www.gunviolencearchive.org/incident/486109,http://articles.latimes.com/2013/may/10/local/la-me-0511-triple-murder-20130511
"May 14, 2013",New Jersey,Delanco,Delaware Ave,0,2,http://www.gunviolencearchive.org/incident/1007785,http://www.burlingtoncountytimes.com/news/20171214/man-charged-in-shooting-incident-with-delanco-cop-not-guilty-by-reason-of-insanity
"May 23, 2013",Tennessee,Bean Station,1034 Main Street,2,2,http://www.gunviolencearchive.org/incident/486623,http://legacy.wbir.com/story/news/local/hamblen-jefferson-cocke-greene/2014/10/01/developing-pharmacy-shooting-suspect-to-make-plea-deal/16526831/
"May 18, 2013",New York,Jamaica,Sutphin Blvd and Rockaway Blvd,1,0,http://www.gunviolencearchive.org/incident/873575,http://qns.com/story/2017/06/22/second-shooter-convicted-fatally-shooting-jamaica-teenager-riding-bus/
"May 18, 2013",Virginia,Victoria,2073 Pleasant Oak Rd,0,4,http://www.gunviolencearchive.org/incident/486611,http://southsidemessenger.com/shooter-accepts-25-year-prison-sentence-for-wounding-4-men-in-lunenburg-county/
"May 20, 2013",Illinois,Chicago,5200 block of West Iowa Street,0,4,http://www.gunviolencearchive.org/incident/486617,http://www.chicagotribune.com/news/local/breaking/chi-man-shot-in-the-head-on-the-south-side-20130520-story.html
"May 19, 2013",Tennessee,Memphis,2281 Ketchum Rd,2,2,http://www.gunviolencearchive.org/incident/486586,http://wreg.com/2013/05/19/4-shot-2-killed-in-south-memphis-apartment-complex/
"May 19, 2013",Michigan,Detroit,N/A,0,4,http://www.gunviolencearchive.org/incident/486605,http://detroit.cbslocal.com/tag/drive-by-shooting/feed/
"May 4, 2013",North Carolina,Smithfield,150 South Equity Drive,0,4,http://www.gunviolencearchive.org/incident/486027,http://www.wxii12.com/news/local-news/north-carolina/4-bystanders-injured-in-smithfield-bar-shooting/20015078
"May 31, 2013",Georgia,Atlanta,1000 block of Fair Street,0,4,http://www.gunviolencearchive.org/incident/487088,http://www.11alive.com/news/article/294952/1/4-people-shot-on-their-porch-during-neighborhood-dispute
"May 5, 2013",California,Palo Alto,Bay Road and University Avenue,0,5,http://www.gunviolencearchive.org/incident/486056,http://paloaltoonline.com/news/2013/05/05/six-people-injured-in-east-palo-alto-shooting
"May 13, 2013",Ohio,Cincinnati,Kings Run Road,0,4,http://www.gunviolencearchive.org/incident/486316,http://www.wlwt.com/news/local-news/cincinnati/four-wounded-in-winton-hills-shootings/20125324
"May 2, 2013",Maryland,Baltimore,600 block of Cokesbury Ave,1,0,http://www.gunviolencearchive.org/incident/984353,https://abcnews.go.com/US/wireStory/baltimore-gang-member-admits-killing-witness-2013-51040451
"May 2, 2013",New Jersey,Newark,804 S. 16th St,0,5,http://www.gunviolencearchive.org/incident/486005,http://www.nj.com/essex/index.ssf/2013/05/five_shot_in_newark_after_mour.html
"May 15, 2013",Michigan,Detroit,9000 block of Carlin,1,4,http://www.gunviolencearchive.org/incident/486327,http://detroit.cbslocal.com/2013/05/16/4-shot-1-killed-during-argument-in-detroit/
"May 25, 2013",Michigan,Flint,1100 block of Paterson,1,3,http://www.gunviolencearchive.org/incident/486977,http://www.mlive.com/news/flint/index.ssf/2015/03/flint_man_not_guilty_of_murder.html
"May 25, 2013",Virginia,Hampton,1900 block of Coliseum Drive,1,4,http://www.gunviolencearchive.org/incident/486998,http://wavy.com/2014/04/15/charges-could-be-dropped-in-hampton-carnival-shooting/
"May 11, 2013",Pennsylvania,Philadelphia,21st Street and Medary Avenue,0,4,http://www.gunviolencearchive.org/incident/486121,http://articles.philly.com/2013-05-14/news/39230986_1_apparent-drive-by-shooting-three-teenagers-stop-sign
"May 11, 2013",New Jersey,Jersey City,Fremont Street,0,4,http://www.gunviolencearchive.org/incident/486244,http://newyork.cbslocal.com/2013/05/11/4-shot-wounded-in-jersey-city-public-housing-development/
"May 11, 2013",Indiana,Columbus,E Main Cross St,5,0,http://www.gunviolencearchive.org/incident/486142,http://article.wn.com/view/2015/02/25/Samuel_Sallee_found_guilty_in_Waynesville_quadruple_murder/
"May 29, 2013",Illinois,Chicago,N/A,0,4,http://www.gunviolencearchive.org/incident/487082,https://www.dnainfo.com/chicago/20130521/bronzeville/one-killed-four-wounded-overnight-shootings
"May 24, 2013",California,Bakersfield,3700 block of Columbus Street,2,2,http://www.gunviolencearchive.org/incident/486971,http://bakersfieldnow.com/news/local/man-in-court-for-2013-double-homicide
"May 12, 2013",Arizona,Apache Junction,3600 block of East Apache Trail,0,5,http://www.gunviolencearchive.org/incident/486153,http://www.cbs5az.com/story/22228993/trial-set-for-az-man-in-motorcycle-gang-shootout
"May 12, 2013",Louisiana,New Orleans,1400 block of Frenchmen St,0,19,http://www.gunviolencearchive.org/incident/486209,http://www.nola.com/crime/index.ssf/2015/09/mothers_day_shooting_suspects_4.html
"May 28, 2013",Tennessee,Memphis,2850 Brewer Avenue,1,3,http://www.gunviolencearchive.org/incident/487052,http://www.wmcactionnews5.com/story/22444072/gunfire-rocks-neighborhood-four-people-shot
