date,state,city_or_county,address,n_killed,n_injured,incident_url,source_url
"November 14, 2018",Massachusetts,Auburn,380 Southbridge St,1,0,http://www.gunviolencearchive.org/incident/1255362,https://www.ledgertranscript.com/Dublin-man-shot-killed-by-police-in-Mass-21652423
"November 14, 2018",Utah,Hyde Park,1650 N 1200 E,0,0,http://www.gunviolencearchive.org/incident/1347240,https://www.washingtontimes.com/news/2019/mar/14/hyde-park-leader-accused-of-pointing-gun-at-staffe/?utm_source=RSS_Feed&utm_medium=RSS&fbclid=IwAR18VQAuYvKnNRxu9hHJolmA-orWNyF4sJHZrAm-sWj-YCBq6FRF5s7k4M0
"November 14, 2018",Alabama,Birmingham,3200 block of Sweeney Hollow Rd,0,1,http://www.gunviolencearchive.org/incident/1256172,https://www.al.com/news/birmingham/2018/11/man-walks-into-pinson-city-hall-with-gunshot-wound.html#incart_river_index
"November 14, 2018",Florida,Lake Worth,6500 block of Lake Worth Rd,0,0,http://www.gunviolencearchive.org/incident/1255303,https://www.palmbeachpost.com/entertainmentlife/20181114/central-police-blotter-womans-loud-phone-conversation-leads-to-argument-scuffle
"November 14, 2018",Florida,Myakka City,MJ Rd,1,0,http://www.gunviolencearchive.org/incident/1259216,https://www.wfla.com/news/local-news/manatee-county/man-arrested-for-killing-and-setting-man-on-fire-in-myakka-city/1608900157
"November 14, 2018",Iowa,Primghar,N/A,0,0,http://www.gunviolencearchive.org/incident/1257805,https://siouxcityjournal.com/news/local/police-say-matlock-man-fired-shotgun-in-direction-of-deputy/article_764dfafd-b662-5e34-bc63-b0172e8265d7.html
"November 14, 2018",Mississippi,Jackson,2600 block of Teresa Dr,1,0,http://www.gunviolencearchive.org/incident/1255801,https://www.clarionledger.com/story/news/local/2018/11/14/one-dead-south-jackson-ms-shooting/1997921002/
"November 14, 2018",Massachusetts,Worcester,Providence St and Dorchester St,0,0,http://www.gunviolencearchive.org/incident/1255820,http://www.worcesterma.gov/police/press-releases/update:-additional-arrest-made-for-providence-st-gunshots
"November 14, 2018",Michigan,East Lansing,2300 block of Stonehedge Dr,0,1,http://www.gunviolencearchive.org/incident/1256565,https://www.lansingstatejournal.com/story/news/local/2018/11/15/police-shooting-gun-crime-injured-shot-east-lansing-delhi-township/2009874002/
"November 14, 2018",Texas,Houston,7100 block of Beechnut St,1,0,http://www.gunviolencearchive.org/incident/1255603,https://www.khou.com/article/news/crime/suspect-fatally-shot-by-officer-was-choking-her-hpd-says/285-614891432?fbclid=IwAR3bYBINX85rtUlQE7EQZDdZerwqIBrzQt5_to6NtczfAO6al6vSwU3fW3w
"November 14, 2018",Arizona,Phoenix,19th Ave and Northern Ave,0,2,http://www.gunviolencearchive.org/incident/1255803,https://www.azcentral.com/story/news/local/phoenix-breaking/2018/11/14/phoenix-police-investigate-shooting-near-19th-and-northern-avenues/2008238002/
"November 14, 2018",Oregon,Portland,NE Alberta St and 82nd Ave,0,0,http://www.gunviolencearchive.org/incident/1257716,https://www.oregonlive.com/portland/index.ssf/2018/11/driver_shot_at_over_parking_to.html
"November 14, 2018",Minnesota,Minneapolis,Dowling Ave,1,0,http://www.gunviolencearchive.org/incident/1259103,https://minnesota.cbslocal.com/2018/11/15/man-hennepin-healthcare-gunshot-wounds-death/
"November 14, 2018",Ohio,Columbus,2100 block of Myrtle Ave,1,0,http://www.gunviolencearchive.org/incident/1259953,https://www.10tv.com/article/columbus-woman-killed-during-shootout-three-days-after-her-20th-birthday
"November 14, 2018",Virginia,Max Meadows (Fort Chiswell),926 Max Meadows Rd,1,1,http://www.gunviolencearchive.org/incident/1255429,https://www.wdbj7.com/content/news/State-Police-identify-man-killed-in-officer-involved-shooting-in-Wythe-County-500622951.html
"November 13, 2018",Arizona,Phoenix,N 37th Ave and W Maryland Ave,0,1,http://www.gunviolencearchive.org/incident/1255110,https://www.azcentral.com/story/news/local/phoenix-traffic/2018/11/13/14-year-old-driver-injured-phoenix-driveby-shooting-maryland-37th-avenue/1989813002/
"November 13, 2018",Texas,Austin,11105 N I-35 Frontage Rd,1,0,http://www.gunviolencearchive.org/incident/1254542,https://cbsaustin.com/news/local/suspect-in-deadly-north-austin-shooting-charged-with-murder-victim-identified
"November 13, 2018",Montana,Helena,I 15,0,0,http://www.gunviolencearchive.org/incident/1254619,https://www.idahostatejournal.com/news/local/three-men-arrested-at-fort-hall-casino-after-deputy-s/article_1574bf54-a46d-5403-88bc-71f44ea6db2f.html
"November 13, 2018",Louisiana,Jackson,2800 block of Charles Drive,1,0,http://www.gunviolencearchive.org/incident/1255061,https://www.theadvocate.com/baton_rouge/news/crime_police/article_2ba5a620-f330-11e8-9a4e-174511dbc642.html
"November 13, 2018",Massachusetts,Boston,265 Centre St,0,1,http://www.gunviolencearchive.org/incident/1255083,https://www.boston.com/news/crime/2018/11/13/jackson-square-shooting
"November 13, 2018",Michigan,Detroit,19400 block of Andover,2,0,http://www.gunviolencearchive.org/incident/1255827,https://www.detroitnews.com/story/news/local/detroit-city/2018/11/13/2-dead-detroit-drive-shooting/1994466002/
"November 13, 2018",Nevada,North Las Vegas,W Centennial Pkwy and N Goldfield St,1,0,http://www.gunviolencearchive.org/incident/1254887,https://www.reviewjournal.com/crime/homicides/suspect-arrested-in-fatal-shooting-of-16-year-old-in-north-las-vegas-1532852/
"November 13, 2018",Connecticut,New London,68 Connecticut Ave,0,0,http://www.gunviolencearchive.org/incident/1255859,https://www.wtnh.com/news/connecticut/new-london/new-london-man-charged-with-carrying-a-pistol-without-a-permit/1597111405
"November 13, 2018",Connecticut,Enfield,130 Shaker Rd,0,0,http://www.gunviolencearchive.org/incident/1255861,https://www.westernmassnews.com/news/swat-involved-in-a-standoff-in-enfield/article_73f20b74-e7f2-11e8-8347-030d275bf1e8.html
"November 13, 2018",Oregon,Lincoln City,900 block of SE 32nd St,0,1,http://www.gunviolencearchive.org/incident/1255729,https://www.oregonlive.com/pacific-northwest-news/index.ssf/2018/11/oregon_man_accused_of_lying_ab.html
"November 13, 2018",Illinois,Chicago,6100 block of S Ada St,0,1,http://www.gunviolencearchive.org/incident/1255197,https://chicago.suntimes.com/news/man-25-shot-beaten-up-by-man-and-woman-in-englewood/
"November 13, 2018",District of Columbia,Washington,1300 block of N Capitol St NW,0,0,http://www.gunviolencearchive.org/incident/1255206,https://www.popville.com/2018/11/shots-fired-earlier-today-in-truxton-circle/
"November 13, 2018",Pennsylvania,Philadelphia,6200 block of Washington Ave,1,0,http://www.gunviolencearchive.org/incident/1253814,https://philadelphia.cbslocal.com/2018/11/13/police-deadly-shooting-in-cobbs-creek-possibly-drug-related/
"November 13, 2018",Florida,Punta Gorda,3035 Tamiami Trail,1,0,http://www.gunviolencearchive.org/incident/1253864,https://www.fox4now.com/news/local-news/possible-suicide-investigation-in-punta-gorda
"November 13, 2018",Pennsylvania,Philadelphia,7500 block of Brookhaven Rd,0,1,http://www.gunviolencearchive.org/incident/1255220,https://6abc.com/police-open-fire-chase-armed-man-in-overbrook/4685743/
"November 13, 2018",Maryland,Hagerstown,300 block of Summit Ave,0,0,http://www.gunviolencearchive.org/incident/1255209,https://www.localdvm.com/news/maryland/second-shooting-in-24-hours-reported-in-hagerstown/1595646764
"November 13, 2018",Ohio,Canton,3500 block of Perry Dr NW,0,0,http://www.gunviolencearchive.org/incident/1255227,https://www.cantonrep.com/news/20181114/machete-gun-and-marijuana-land-two-canton-men-in-jail
"November 13, 2018",Ohio,Lorain,N/A,0,0,http://www.gunviolencearchive.org/incident/1255237,http://www.chroniclet.com/cops-and-courts/2018/11/13/Lorain-man-indicted-on-federal-weapons-charges.html
"November 13, 2018",Virginia,Richmond,11 N Laburnum Ave,0,0,http://www.gunviolencearchive.org/incident/1254232,http://www.nbc12.com/2018/11/13/man-arrested-after-firing-gunshot-during-argument/
"November 13, 2018",Georgia,Atlanta,4800 block of Brookwood Pl,0,1,http://www.gunviolencearchive.org/incident/1253910,https://www.ajc.com/news/crime--law/man-shot-intruder-south-fulton-home-police-say/9o3iANkvGC3yK659zGkBwI/
"November 13, 2018",Maryland,Baltimore,2300 Fleet St,0,0,http://www.gunviolencearchive.org/incident/1299588,https://www.baltimoresun.com/news/maryland/crime/bs-md-ci-robber-shot-canton-20190112-story.html
"November 13, 2018",New York,Rome,600 Erie Blvd W,0,0,http://www.gunviolencearchive.org/incident/1256602,https://www.uticaod.com/news/20181116/rome-police-seek-information-in-shots-fired-incident
"November 13, 2018",Alabama,Auburn,300 block of Webster Rd,0,1,http://www.gunviolencearchive.org/incident/1281422,https://www.al.com/news/montgomery/2018/12/montgomery-man-charged-with-attempted-murder-in-november-shooting-in-auburn.html
"November 13, 2018",Maryland,Baltimore,N/A,0,0,http://www.gunviolencearchive.org/incident/1275087,https://data.baltimorecity.gov/Public-Safety/BPD-Arrests/3i3v-ibrt
"November 13, 2018",New Jersey,Camden,1500 block of Princess Ave,1,0,http://www.gunviolencearchive.org/incident/1255543,https://www.courierpostonline.com/story/news/2019/05/29/kidron-roberts-manslaughter-javonne-davis-camden/1265963001/
"November 4, 2018",Michigan,Saint Clair Shores,26211 Harper Ave,1,0,http://www.gunviolencearchive.org/incident/1247507,https://www.detroitnews.com/story/news/local/macomb-county/2018/12/21/drug-associate-stalked-man-killed-st-clair-shores-cops/2379847002/
"November 4, 2018",Texas,Waco,900 block Sherman St,0,2,http://www.gunviolencearchive.org/incident/1247550,https://www.wacotrib.com/news/police/waco-police-investigating-double-shooting-in-east-waco/article_f4849e77-c2aa-5ee1-8ca5-9c2e60957db8.html?fbclid=IwAR3BFF0G3B4NRizvFmybHrS7IG0d0lZ4JvM9mXTQ818IxbQEzWbu2Y79ano
"November 4, 2018",Texas,San Antonio,W Thompson Pl and Phyllis St,0,0,http://www.gunviolencearchive.org/incident/1248938,https://www.ksat.com/news/deputies-find-loaded-ak-47-meth-xanax-more-after-south-side-car-chase?__vfz=rtw_top_pages%3D10648700005660
"November 4, 2018",Texas,Houston,17000 block of Imperial Valley Dr,0,2,http://www.gunviolencearchive.org/incident/1251046,http://www.houstontx.gov/police/nr/2018/nov/nr110518-6.htm
"November 4, 2018",Montana,Billings,1000 block of N 31st St,0,1,http://www.gunviolencearchive.org/incident/1247560,https://billingsgazette.com/news/local/billings-police-involved-in-shooting-after-attempted-burglary/article_f9774475-0601-577e-813e-9afb31ae2448.html#tracking-source=home-top-story
"November 4, 2018",Washington,Port Orchard,N/A,1,0,http://www.gunviolencearchive.org/incident/1248087,https://www.kitsapsun.com/story/news/2018/11/09/kitsap-county-port-orchard-homicide-arrest-manslaughter-stolen-gun/1948847002/
"November 4, 2018",Utah,West Jordan,3400 W and 6600 S,0,0,http://www.gunviolencearchive.org/incident/1248240,https://www.deseretnews.com/article/900040414/police-seek-man-who-fired-shot-in-west-jordan-neighborhood.html
