date,state,city_or_county,address,n_killed,n_injured,incident_url,source_url
"July 1, 2013",Texas,Fort Worth,2900 block of Pate Drive,4,0,http://www.gunviolencearchive.org/incident/490245,http://crimeblog.dallasnews.com/2013/07/man-arrested-in-connection-with-three-shooting-deaths-in-fort-worth.html/
"July 1, 2013",New York,Locust Valley,99 Horse Hollow Rd,0,1,http://www.gunviolencearchive.org/incident/893251,https://patch.com/new-york/glencove/drug-suspect-shot-by-police-idd
"July 2, 2013",New Jersey,Jersey City,Dwight St,1,0,http://www.gunviolencearchive.org/incident/1023908,http://www.nj.com/hudson/index.ssf/2018/01/murder_trial_of_man_killed_outside_jersey_city_par.html#incart_river_index
"July 30, 2013",New Mexico,Hobbs,2000 block of North Bensing Rd,0,4,http://www.gunviolencearchive.org/incident/491292,http://www.newswest9.com/story/22981254/four-people-hurt-after-shooting-in-lea-county-officials-searching-for-suspect
"July 23, 2013",New Jersey,Trenton,E Stuyvesant Ave,1,0,http://www.gunviolencearchive.org/incident/1337854,http://trenton.homicidewatch.org/2019/02/28/trenton-gunman-murders-masons-barber-in-2013-robbery-gets-convicted-at-trial/
"July 7, 2013",Mississippi,Meridian,2500 block of 5th Street,0,4,http://www.gunviolencearchive.org/incident/490767,http://www.wtok.com/news/headlines/MPD-Investigating-Quadruple-Shooting--214541691.html?ref=691u
"July 7, 2013",Illinois,Chicago,11300 block of S Forest Ave,0,5,http://www.gunviolencearchive.org/incident/490772,https://www.dnainfo.com/chicago/20130711/roseland/man-claims-self-defense-after-shooting-five-people-at-his-home
"July 7, 2013",California,Stockton,2600 block of Connecticut Avenue,1,4,http://www.gunviolencearchive.org/incident/490893,http://www.stocktongov.com/files/020314_VIC_POSADA.pdf
"July 7, 2013",Florida,Pompano Beach,1600 block of Northwest 7th Lane,1,3,http://www.gunviolencearchive.org/incident/490793,http://miami.cbslocal.com/2013/07/07/pompano-beach-robbery-attempt-turns-deadly/
"July 9, 2013",Maryland,Baltimore,600 block of N. Carrollton Ave,0,4,http://www.gunviolencearchive.org/incident/490909,http://www.wbaltv.com/news/maryland/baltimore-city/man-faces-35-charges-in-quadruple-shooting/21001854
"July 9, 2013",Illinois,Rockford,600 block of Woodlawn Avenue,2,2,http://www.gunviolencearchive.org/incident/490917,http://www.saukvalley.com/2013/07/11/police-2-dead-2-injured-in-shootings/avpv0zm/
"July 6, 2013",New York,Brooklyn,472 Marcy Avenue,1,3,http://www.gunviolencearchive.org/incident/490750,http://brooklynda.org/2015/03/18/brooklyn-man-sentenced-to-47-years-to-life-in-prison-for-quadruple-shooting-in-gang-dispute-at-basketball-tournament/
"July 6, 2013",Alabama,Florence,West Mobile Street,0,4,http://www.gunviolencearchive.org/incident/490395,http://www.waff.com/story/22766314/4-taken-to-hospital-after-shooting-in-florence
"July 21, 2013",New York,Brooklyn,1445 Lincoln Place,0,4,http://www.gunviolencearchive.org/incident/491214,http://brooklyn.news12.com/news/3-men-1-woman-wounded-in-quadruple-shooting-on-lincoln-place-in-crown-heights-1.5740597
"July 25, 2013",Michigan,Inkster,Oakwood Street,0,4,http://www.gunviolencearchive.org/incident/491243,http://detroit.cbslocal.com/2013/07/26/4-injured-in-apparent-drive-by-shooting-in-inkster/http://detroit.cbslocal.com/2013/07/26/4-injured-in-apparent-drive-by-shooting-in-inkster/
"July 28, 2013",Texas,Dallas,2400 block of Royal Lane,0,4,http://www.gunviolencearchive.org/incident/491287,http://www.nbcdfw.com/news/local/Four-Wounded-In-McDonalds-Parking-Lot-Gunfire-217316361.html
"July 19, 2013",California,Madera,Yosemite Avenue and Cleveland,0,4,http://www.gunviolencearchive.org/incident/491073,http://abc30.com/archive/9176737/
"July 19, 2013",Connecticut,Hartford,3155 Main St,0,4,http://www.gunviolencearchive.org/incident/491082,http://articles.courant.com/2013-07-19/community/hc-hartford-shooting-vibes-club-0720-20130719_1_graze-wound-18-year-old-man-10-gunshots
