date,state,city_or_county,address,n_killed,n_injured,incident_url,source_url
"August 1, 2018",Massachusetts,Peabody,170 Newbury St,0,0,http://www.gunviolencearchive.org/incident/1178208,https://www.itemlive.com/2018/08/02/peabody-police-arrest-four-suspects-illegal-gun-charges/
"August 1, 2018",Maine,Portland,I-95,0,0,http://www.gunviolencearchive.org/incident/1178225,https://bangordailynews.com/2018/08/02/news/portland/nh-man-accused-of-pulling-a-handgun-during-road-rage-incident/
"August 1, 2018",South Dakota,Sioux Falls,E 8th St and N Sycamore Ave,0,0,http://www.gunviolencearchive.org/incident/1178213,http://www.ksfy.com/content/news/Police-investigating-report-of-shots-fire-in-eastern-Sioux-Falls-489848651.html
"August 1, 2018",Washington,Vancouver,300 block of SE 166th Ave,0,0,http://www.gunviolencearchive.org/incident/1178253,https://www.columbian.com/news/2018/aug/02/bail-set-at-500000-for-standoff-suspect/
"August 1, 2018",Connecticut,Meriden,3 Foster Ct,0,0,http://www.gunviolencearchive.org/incident/1177330,http://www.courant.com/breaking-news/hc-br-meriden-man-arrested-drug-charges-counterfeit-bills-20180801-story.html
"August 1, 2018",Oregon,Portland,1900 block of SE 174th Ave,0,0,http://www.gunviolencearchive.org/incident/1178258,https://www.koin.com/news/crime/suspect-arrested-after-threatening-to-shoot-people/1341650706
"August 1, 2018",Pennsylvania,Philadelphia,2901 N 12th St,1,1,http://www.gunviolencearchive.org/incident/1177524,https://philadelphia.cbslocal.com/2018/08/02/philadelphia-police-release-surveillance-footage-of-3-suspects-wanted-in-deadly-shooting-outside-recreation-center/
"August 1, 2018",Colorado,Grand Junction,300 block of Fire Willow Street,0,0,http://www.gunviolencearchive.org/incident/1230930,https://www.gjsentinel.com/news/blotter/blotter-oct/article_ae148ab0-cddb-11e8-b6ff-10604b9ffe60.html
"August 1, 2018",Illinois,Aurora,400 block of S 4th St,0,1,http://www.gunviolencearchive.org/incident/1177521,https://chicago.suntimes.com/crime/man-seriously-hurt-in-aurora-shooting/
"August 1, 2018",Maryland,Baltimore,1400 block of N Fulton Ave,0,1,http://www.gunviolencearchive.org/incident/1176800,https://www.facebook.com/BaltimoreCityPolice/posts/10155429901811956
"August 1, 2018",Illinois,Chicago,1600 block of W 72nd St,0,1,http://www.gunviolencearchive.org/incident/1177606,https://chicago.suntimes.com/news/man-shot-in-foot-in-west-englewood-5/
"August 1, 2018",Maryland,Oxon Hill,6223 Livingston Rd,2,0,http://www.gunviolencearchive.org/incident/1177557,http://www.fox5dc.com/news/local-news/murder-suspect-killed-by-prince-georges-county-police-in-oxon-hill-identified
"August 1, 2018",New Jersey,Newark,20 block of Stratford Pl,0,1,http://www.gunviolencearchive.org/incident/1177610,https://www.rlsmedia.com/article/gunfire-strike-male-near-newark-park
"August 1, 2018",Maryland,Catonsville,600 block of Aldershot Rd,0,1,http://www.gunviolencearchive.org/incident/1177575,http://www.baltimoresun.com/news/maryland/crime/bs-md-burglary-shooting-20180802-story.html
"August 1, 2018",Ohio,Byesville,N 7th St,0,0,http://www.gunviolencearchive.org/incident/1177646,http://www.daily-jeff.com/news/20180802/journal
"August 1, 2018",Ohio,Cleveland (Cleveland Heights),Lee Rd,0,0,http://www.gunviolencearchive.org/incident/1177945,https://www.cleveland.com/metro/index.ssf/2018/08/group_shoots_at_university_cir.html#incart_river_index
"August 1, 2018",California,Grover Beach,The Pike and 23rd St,0,0,http://www.gunviolencearchive.org/incident/1180806,https://www.sanluisobispo.com/news/local/crime/article216021855.html
"August 1, 2018",Connecticut,New Haven,Winchester Ave and Ivy St,0,1,http://www.gunviolencearchive.org/incident/1177594,https://fox61.com/2018/08/01/man-critically-injured-after-new-haven-shooting/
"August 1, 2018",Ohio,Dayton,4100 block of Germantown Pike,0,1,http://www.gunviolencearchive.org/incident/1177672,https://www.wdtn.com/news/local-news/suspect-on-the-loose-after-shooting-at-moving-car-causing-driver-to-cash/1340403609
"August 1, 2018",Washington,Seattle (Tukwila),3430 S 146th St,1,1,http://www.gunviolencearchive.org/incident/1176842,https://komonews.com/news/local/2-wounded-in-tukwila-shooting
"August 1, 2018",Ohio,Dayton,777 Hollywood Blvd,0,0,http://www.gunviolencearchive.org/incident/1176859,https://www.daytondailynews.com/news/local/police-respond-shots-fired-call-near-hollywood-gaming-racino/RkH5MfJgMXF7Ut6V4tJF7L/
"August 1, 2018",Maryland,Baltimore,3600 block of 6th St,1,0,http://www.gunviolencearchive.org/incident/1176798,https://www.facebook.com/BaltimoreCityPolice/posts/10155433900996956
"August 1, 2018",Maryland,Baltimore,4200 block of Berger Ave,1,0,http://www.gunviolencearchive.org/incident/1177571,https://www.facebook.com/BaltimoreCityPolice/posts/10155433900996956
"August 1, 2018",Arkansas,Blytheville,Missouri St and Kentucky St,0,1,http://www.gunviolencearchive.org/incident/1178328,http://www.kait8.com/story/38800462/blytheville-police-investigate-shooting
"August 1, 2018",Illinois,Chicago,5200 block of W Lake St,0,1,http://www.gunviolencearchive.org/incident/1177717,https://chicago.suntimes.com/news/man-44-shot-in-austin/
"August 13, 2018",California,San Francisco,100 block of Kiska Rd,1,0,http://www.gunviolencearchive.org/incident/1187378,http://www.sfexaminer.com/gun-violence-prevention-worker-fatally-shot-point-blank-lunch-break/
"August 13, 2018",Louisiana,Opelousas,1000 Abdalla Blvd,0,0,http://www.gunviolencearchive.org/incident/1186111,https://www.dailyworld.com/story/news/local/2018/08/13/gun-found-opelousas-elementary-school-campus/975689002/
"August 13, 2018",Louisiana,Shreveport,400 block of Fuller St,0,1,http://www.gunviolencearchive.org/incident/1186125,https://www.ktbs.com/news/crime/two-shootings-in-shreveport-overnight/article_9b62cc70-9ee6-11e8-b8d6-bb3fe30ce5c8.html
"August 13, 2018",Kentucky,Louisville,1120 S 36th St,1,1,http://www.gunviolencearchive.org/incident/1186447,https://www.whas11.com/article/news/crime/woman-killed-in-shooting-on-louisvilles-36th-street/417-584099713
"August 13, 2018",Tennessee,Antioch,5253 Hickory Hollow Pkwy,0,0,http://www.gunviolencearchive.org/incident/1186819,http://www.wsmv.com/story/38877122/three-shootings-in-three-days-in-antioch
"August 13, 2018",South Carolina,Conway,Beverly Richard St,0,0,http://www.gunviolencearchive.org/incident/1186842,https://www.myrtlebeachonline.com/news/local/crime/article216664075.html
"August 13, 2018",Florida,Jacksonville,2700 block of Larsen Rd,1,0,http://www.gunviolencearchive.org/incident/1188539,http://www.jacksonville.com/news/20180815/jacksonville-police-identify-2-recent-homicide-victims
"August 13, 2018",Florida,Sarasota,7829 Crest Hammock Way,2,0,http://www.gunviolencearchive.org/incident/1187223,http://www.heraldtribune.com/news/20180814/sarasota-sheriff-two-dead-in-apparent-murder-suicide
"August 13, 2018",Nevada,Henderson,460 N Arroyo Grande Blvd,0,0,http://www.gunviolencearchive.org/incident/1186204,https://lasvegassun.com/news/2018/aug/13/police-student-with-loaded-gun-arrested-at-henders/
"August 13, 2018",Ohio,Toledo,3700 block of N Erie St,0,2,http://www.gunviolencearchive.org/incident/1186207,http://www.toledoblade.com/Police-Fire/2018/08/13/Toledo-police-investigate-two-shootings-Monday/stories/20180813132
"August 13, 2018",Ohio,Toledo,700 block of Woodstock Ave,0,1,http://www.gunviolencearchive.org/incident/1186210,http://www.toledoblade.com/Police-Fire/2018/08/13/Toledo-police-investigate-two-shootings-Monday/stories/20180813132
"August 13, 2018",Wisconsin,Milwaukee,Cesar Chavez Dr and National Ave,0,1,http://www.gunviolencearchive.org/incident/1185730,https://www.jsonline.com/story/news/crime/2018/08/13/four-year-old-boy-among-eight-gun-violence-victims-milwaukee/979364002/
"August 13, 2018",Wisconsin,Manitowoc,800 block of N 11th St,0,0,http://www.gunviolencearchive.org/incident/1186861,https://www.htrnews.com/story/news/crime/2018/08/14/manitowoc-police-arrest-travis-maurer-shooting-tv-during-argument-11-th-street-wisconsin/986403002/
"August 13, 2018",Texas,Dekalb,1071 Co Rd 4307,0,0,http://www.gunviolencearchive.org/incident/1186244,http://www.texarkanagazette.com/news/texarkana/story/2018/aug/13/beat/738604/
"August 13, 2018",Virginia,Norfolk,600 block of E Olney Rd,0,1,http://www.gunviolencearchive.org/incident/1186895,https://wtkr.com/2018/08/13/norfolk-police-investigate-shooting-5/
"August 13, 2018",North Carolina,Onslow (county),N/A,0,0,http://www.gunviolencearchive.org/incident/1186908,http://www.jdnews.com/news/20180814/firearms-arrest---domminick-williams
"August 13, 2018",Ohio,Painesville,100 block of Cedarbrook Dr,1,1,http://www.gunviolencearchive.org/incident/1186571,https://www.cleveland.com/metro/index.ssf/2018/08/gates_mills_officer_tells_911.html
"August 13, 2018",North Carolina,Raleigh,Western Blvd,0,0,http://www.gunviolencearchive.org/incident/1186912,https://www.wral.com/man-arrested-after-downtown-raleigh-police-chase-ends-on-western-boulevard/17768213/
"August 13, 2018",California,Oxnard,5300 block of South J Street,1,0,http://www.gunviolencearchive.org/incident/1187917,https://www.vcstar.com/story/news/local/communities/oxnard/2018/08/25/oxnard-shooting-victim-becomes-citys-12-th-homicide-victim-juan-cerda/1099657002/
"August 13, 2018",Pennsylvania,Philadelphia,1800 block of E Pastorius St,1,0,http://www.gunviolencearchive.org/incident/1187265,https://www.nbcphiladelphia.com/news/local/Philly-High-School-Track-Star-Kristian-Marche-Killing-Arrest-491449621.html
"August 13, 2018",California,San Diego,5th Avenue and Market Street,1,0,http://www.gunviolencearchive.org/incident/1186239,http://www.cbs8.com/story/38894726/police-no-charges-filed-in-fatal-gaslamp-shooting
"August 13, 2018",South Carolina,Brunson,101 Dogwood Dr,1,0,http://www.gunviolencearchive.org/incident/1185963,https://www.wsav.com/investigates/crime-safety/authorities-investigate-homicide-in-hampton-county/1365697032
"August 13, 2018",Nebraska,Eagle,N/A,1,0,http://www.gunviolencearchive.org/incident/1453640,https://journalstar.com/lifestyles/announcements/obituaries/hunter-a-paxson/article_c92e199d-555e-53e4-a4ba-6d474fcae1a4.html
"August 13, 2018",Alabama,Dothan,1236 S Oates St,0,0,http://www.gunviolencearchive.org/incident/1186254,http://www.wtvy.com/content/news/DHS-student-charged-with-breakins-after-police-find-stolen-gun-on-campus-490763331.html
"August 13, 2018",Alaska,Anchorage,300 block of E Manor Ave,0,0,http://www.gunviolencearchive.org/incident/1186934,http://www.ktuu.com/content/news/Woman-fires-shot-over-construction-noise-gets-into-standoff-with-APD-490774121.html
"August 13, 2018",Alaska,Anchorage,1000 block of E 20th St,1,0,http://www.gunviolencearchive.org/incident/1186945,https://www.adn.com/alaska-news/crime-courts/2018/08/14/apd-fairview-homicide-isolated-incident-of-domestic-violence/
"August 13, 2018",Mississippi,Bay Springs,Co Rd 1216,0,1,http://www.gunviolencearchive.org/incident/1186264,http://www.wdam.com/story/38875000/man-wanted-after-jasper-county-shooting
"August 13, 2018",Alaska,Kenai,Thunder Rd,0,0,http://www.gunviolencearchive.org/incident/1186973,https://dps.alaska.gov/dailydispatch/Home/DisplayIncident?incidentNumber=AK18057717
"August 13, 2018",Mississippi,Starkville,Butler Rd,0,0,http://www.gunviolencearchive.org/incident/1186271,https://www.wcbi.com/two-charged-domestic-violence-case/
"August 13, 2018",Ohio,Fairfield,5600 block of River Rd,1,0,http://www.gunviolencearchive.org/incident/1185887,https://www.wlwt.com/article/police-man-found-dead-possible-gunshot-wound-in-fairfield/22713854
"August 13, 2018",Kentucky,Henderson (county),N/A,0,0,http://www.gunviolencearchive.org/incident/1186969,https://surfky.com/index.php/henderson/news-henderson/132003-deputies-investigating-shots-fired-into-henderson-county-home
"August 13, 2018",Virginia,Norfolk,1300 block of Herbert Collins Way,1,0,http://www.gunviolencearchive.org/incident/1186902,https://pilotonline.com/news/local/crime/article_8d517cd4-ad60-11e8-880e-ff865b3cbc97.html
"August 13, 2018",Virginia,Virginia Beach,700 block of Hampshire Ln,0,2,http://www.gunviolencearchive.org/incident/1187056,https://wtkr.com/2018/08/13/virginia-beach-police-investigate-shooting-4/
"August 13, 2018",California,Madera,700 block of North Granada Drive,0,1,http://www.gunviolencearchive.org/incident/1186284,https://www.fresnobee.com/news/local/crime/article216588535.html
"August 13, 2018",New York,Brooklyn,Bergen St and Grand Ave,0,1,http://www.gunviolencearchive.org/incident/1187938,https://i.citizen.com/-LJpNoWFVZOUq423Yjh1
