date,state,city_or_county,address,n_killed,n_injured,incident_url,source_url
"May 9, 2019",Virginia,Richmond,500 Meriwether Ave,0,0,http://www.gunviolencearchive.org/incident/1392230,https://wtvr.com/2019/05/10/henrico-elementary-school-student-brings-gun-on-bus/
"May 9, 2019",Virginia,Newport News,100 block of Philips Ln,0,1,http://www.gunviolencearchive.org/incident/1392040,https://www.13newsnow.com/article/news/local/mycity/newport-news/newport-news-police-investigating-shooting-victim-not-cooperating/291-ba7241e9-fbc8-491d-a91e-b12931e198ca
"May 9, 2019",Virginia,Norfolk,9500 block of 1st View St,0,1,http://www.gunviolencearchive.org/incident/1392215,https://www.13newsnow.com/article/news/local/mycity/norfolk/one-person-injured-in-norfolk-shooting/291-ab9bd822-0279-48de-834e-90a83cea812f
"May 9, 2019",Massachusetts,Boston,Intervale St,0,2,http://www.gunviolencearchive.org/incident/1391280,https://twitter.com/stacos/status/1126668465828450306
"May 9, 2019",California,Montebello,Victoria Ave and 2nd St,1,0,http://www.gunviolencearchive.org/incident/1391815,https://mynewsla.com/crime/2019/05/11/coroner-identifies-man-killed-in-officer-involved-shooting-in-montebello-2/
"May 9, 2019",Massachusetts,Holyoke,14 Willow St,0,0,http://www.gunviolencearchive.org/incident/1398965,https://www.wwlp.com/news/crime/heroin-27k-in-cash-seized-after-raid-in-holyoke/2009537185
"May 9, 2019",Arkansas,Jonesboro,2200 block of Belt St,0,0,http://www.gunviolencearchive.org/incident/1391221,https://www.kait8.com/2019/05/10/police-marijuana-meth-cash-loaded-ar-dr-seuss-book-leads-three-arrests/
"May 9, 2019",North Carolina,Winston Salem (Winston-salem),1400 block of Hutton St,0,3,http://www.gunviolencearchive.org/incident/1391341,https://myfox8.com/2019/05/09/3-injured-in-shooting-on-hutton-street-in-winston-salem/
"May 9, 2019",North Carolina,Winston Salem (Winston-salem),1400 block of Peace Court,0,3,http://www.gunviolencearchive.org/incident/1391351,https://myfox8.com/2019/05/09/two-teenagers-taken-to-hospital-after-shooting-in-winston-salem/
"May 9, 2019",Oklahoma,Tulsa,6336 S Peoria Ave,0,1,http://www.gunviolencearchive.org/incident/1391365,https://www.newson6.com/story/40449436/police-15yearold-girl-shot-in-tulsa
"May 9, 2019",South Carolina,Columbia,100 block of Alexander Point Dr,0,2,http://www.gunviolencearchive.org/incident/1391370,https://www.wistv.com/2019/05/10/rcsd-investigating-shooting-alexander-point-drive/
"May 9, 2019",South Carolina,Greenwood,Kirksey Dr and S Main St,0,0,http://www.gunviolencearchive.org/incident/1391380,https://www.wspa.com/news/crime/3-men-facing-charges-following-drive-by-shooting-in-greenwood-police-say/1992776218
"May 9, 2019",Virginia,Norfolk,600 block of Dudley Ave,0,1,http://www.gunviolencearchive.org/incident/1391248,https://www.13newsnow.com/article/news/local/mycity/norfolk/norfolk-police-investigating-shooting-near-elementary-school-1-teen-hurt/291-0f676ab1-244b-4815-9461-9e6c2213c378
"May 9, 2019",Oklahoma,Grant,N/A,0,1,http://www.gunviolencearchive.org/incident/1391387,https://www.kxii.com/content/news/Man-arrested-after-shooting-in-Choctaw-Co--509720401.html
"May 9, 2019",Vermont,Marshfield,1669 US 2,0,0,http://www.gunviolencearchive.org/incident/1392838,https://vtstatepolice.blogspot.com/2019/05/middlesex-barracks-dui-reckless.html
"May 9, 2019",Mississippi,Jackson,Witsell Rd,0,1,http://www.gunviolencearchive.org/incident/1392279,https://www.wapt.com/article/man-shot-brother-arrested-jpd-says/27430804
"May 9, 2019",District of Columbia,Washington,1300 block of Columbia Rd NW,0,2,http://www.gunviolencearchive.org/incident/1391031,https://twitter.com/DCPoliceDept/status/1126490760235425792
"May 9, 2019",Alabama,Mobile,2700 Greenbrier Dr S,0,0,http://www.gunviolencearchive.org/incident/1396353,https://www.al.com/news/2019/05/10-year-old-boy-arrested-after-taking-gun-to-mobile-school.html
"May 9, 2019",Maine,Augusta (Sidney),Ferguson Dr,0,0,http://www.gunviolencearchive.org/incident/1392875,https://www.centralmaine.com/2019/05/10/morning-sentinel-police-log-27-2/
"May 9, 2019",Connecticut,Hartford,Westland St,0,1,http://www.gunviolencearchive.org/incident/1391406,https://www.wtnh.com/news/connecticut/hartford/hartford-pd-investigate-shooting-on-westland-street/1993681202
"May 9, 2019",Texas,Katy,19000 block of Plantation Cove Ln,0,0,http://www.gunviolencearchive.org/incident/1392285,https://www.khou.com/video/news/local/katy-family-lives-in-fear-after-shootings/285-ecb43c7c-a3c3-4421-8274-d68bbd9c1ce7
"May 9, 2019",Virginia,Centreville,Raina Dr,0,1,http://www.gunviolencearchive.org/incident/1391411,https://www.nbcwashington.com/news/local/Virginia-Man-Shoots-Suspected-Intruder-Who-Turns-Out-to-Be-Acquaintance-509710091.html
"May 9, 2019",Texas,Houston,7429 Long Point Rd,0,2,http://www.gunviolencearchive.org/incident/1392286,http://www.houstontx.gov/police/nr/2019/may/nr05102019-1.htm
"May 9, 2019",Texas,Killeen,2800 block of Tucker Dr,0,0,http://www.gunviolencearchive.org/incident/1392294,http://kdhnews.com/news/local/police-reports-in-killeen-cove-heights-and-lampasas/article_e691f682-735f-11e9-8eaf-03838ea1fa4d.html
"May 9, 2019",Mississippi,Madison,Ashley Terrace,0,0,http://www.gunviolencearchive.org/incident/1392295,https://www.wlbt.com/2019/05/10/madison-man-arrested-after-firing-shots-woman-she-ran-away/
"May 11, 2019",Montana,Billings,1900 block of 11th Ave N,1,0,http://www.gunviolencearchive.org/incident/1392696,https://ktvq.com/news/local-news/2019/05/11/body-found-saturday-morning-on-north-side-with-gunshot-wound/?fbclid=IwAR0PzLH0MUTPMSqgaDmImhTgcAPHD7pXTHO5GYR94SXMl1uiCS4g33UuX6I
"May 11, 2019",Florida,Leesburg,N/A,0,0,http://www.gunviolencearchive.org/incident/1393572,http://www.fox35orlando.com/news/local-news/florida-men-arrested-after-being-found-with-drugs-weapon
"May 11, 2019",Wisconsin,Manitowoc,924 Washington St,0,0,http://www.gunviolencearchive.org/incident/1393596,https://www.htrnews.com/story/news/crime/2019/05/13/manitowoc-police-man-lawrence-washington-fired-gun-after-incident-exoticas-strip-club/1189484001/?fbclid=IwAR3rhHewLRd35D0by8mKiunHR4Y1BCuyBjJC8cS_LzUmUsg91qPUPPXDSWw
"May 11, 2019",Michigan,Ypsilanti,100 block of Stevens Dr,0,1,http://www.gunviolencearchive.org/incident/1393582,https://www.mlive.com/news/ann-arbor/2019/05/teen-in-custody-after-accidentally-shooting-friend-in-chest-police-say.html
"May 11, 2019",Washington,Spokane,N Market St,0,0,http://www.gunviolencearchive.org/incident/1395461,https://my.spokanecity.org/police/news/2019/05/13/spd-road-rage-arrest/
"May 11, 2019",Wisconsin,Milwaukee,N 18th St and W Capitol Dr,0,1,http://www.gunviolencearchive.org/incident/1393585,https://fox6now.com/2019/05/12/23-year-old-man-injured-following-shooting-near-18th-and-capitol/
"May 11, 2019",Nevada,Las Vegas,8000 block of Denny Creek Way,0,1,http://www.gunviolencearchive.org/incident/1392946,https://www.fox5vegas.com/news/child-accidentally-shot-inside-southwest-valley-home/article_5ab60ff0-7435-11e9-b9d1-236177cf3f94.html
"May 11, 2019",Georgia,Byron,303 GA-49,0,0,http://www.gunviolencearchive.org/incident/1392951,https://wgxa.tv/news/local/a-little-saturday-excitement-gun-thief-caught-after-manhunt
"May 11, 2019",Louisiana,Montegut,LA-665,1,0,http://www.gunviolencearchive.org/incident/1398299,https://www.dailycomet.com/news/20190709/sheriff-murder-suspect-arrested-in-gray
