date,state,city_or_county,address,n_killed,n_injured,incident_url,source_url
"June 4, 2018",Massachusetts,Springfield,100 block of Oak Grove Ave,0,0,http://www.gunviolencearchive.org/incident/1134133,http://www.wwlp.com/news/crime/man-facing-assault-weapons-charges-after-biting-springfield-police-officer/1220085727
"June 4, 2018",Missouri,Springfield,2109 N Fort St,1,0,http://www.gunviolencearchive.org/incident/1133094,https://www.kspr.com/content/news/Concealed-carry-holder-turned-citizen-cop-helped-officer-as-his-gun-jammed-503077832.html?jwsource=rdt
"June 4, 2018",Massachusetts,Boston,122 Walford Way,0,0,http://www.gunviolencearchive.org/incident/1134139,https://www.universalhub.com/crime/20180604/shots-fired-walford-way-charlestown
"June 4, 2018",Missouri,Lees Summit,120 SW Blue Pkwy,0,0,http://www.gunviolencearchive.org/incident/1140865,http://fox4kc.com/2018/06/12/police-investigating-reports-of-shots-fired-large-fights-outside-summit-waves-water-park/
"June 4, 2018",Massachusetts,New Bedford,80 block of Parker St,0,0,http://www.gunviolencearchive.org/incident/1134140,http://www.southcoasttoday.com/news/20180605/residence-damaged-in-new-bedford-shooting?rssfeed=true
"June 4, 2018",Louisiana,Baton Rouge,900 block of N Donmoor Dr,1,0,http://www.gunviolencearchive.org/incident/1247498,https://www.theadvocate.com/baton_rouge/news/crime_police/article_575d6a84-108e-11e9-aa2b-5fe90d5f1b60.html
"June 4, 2018",Louisiana,Baton Rouge,1000 block of Coolidge St,1,0,http://www.gunviolencearchive.org/incident/1132456,https://www.theadvocate.com/baton_rouge/news/crime_police/article_d7c539fa-67eb-11e8-a01a-b3ea5ed673bc.html
"June 4, 2018",Michigan,Flint,N/A,0,1,http://www.gunviolencearchive.org/incident/1135369,http://www.santacruzsentinel.com/general-news/20180608/parents-charged-after-girl-finds-gun-in-closet-wounds-self
"June 2, 2018",South Carolina,Gaffney,Oakland Ave,0,1,http://www.gunviolencearchive.org/incident/1131475,http://www.wspa.com/news/convicted-felon-charged-after-4-year-gets-shot/1218451288
"June 2, 2018",Illinois,Mount Vernon,1100 block of Perkins Ave,0,0,http://www.gunviolencearchive.org/incident/1133708,http://www.wmix94.com/2018/06/05/mt-vernon-councilman-praising-police-for-handling-of-standoff-over-the-weekend/
"June 2, 2018",District of Columbia,Washington,1700 block of Lincoln Rd NE,1,0,http://www.gunviolencearchive.org/incident/1131322,https://mpdc.dc.gov/release/homicide-1700-block-lincoln-road-northeast
"June 2, 2018",New Mexico,Las Cruces,West Picacho Avenue and Sixth Street,0,2,http://www.gunviolencearchive.org/incident/1131605,https://www.lcsun-news.com/story/news/crime/2018/06/02/las-cruces-man-arrested-shooting-incident-injured-two/667135002/
"June 2, 2018",Louisiana,Shreveport,Jackson St and Jewella Ave,0,1,http://www.gunviolencearchive.org/incident/1132897,https://www.shreveporttimes.com/story/news/crime/2018/06/04/13-year-old-injured-saturday-shooting/668508002/
"June 2, 2018",South Carolina,Orangeburg,Russell St,0,1,http://www.gunviolencearchive.org/incident/1133713,https://thetandd.com/news/local/crime-and-courts/report-orangeburg-man-pistol-whipped-in-hot-pocket-dispute/article_7b433722-cc17-5085-8d7a-2b42532b78a2.html
"June 2, 2018",Virginia,Chesapeake,2000 block of Linster St,1,1,http://www.gunviolencearchive.org/incident/1131591,http://wtkr.com/2018/06/02/early-morning-shooting-in-chesapeake-leaves-one-dead/
"June 2, 2018",Tennessee,Memphis,1000 block of Peabody Ave,0,1,http://www.gunviolencearchive.org/incident/1131556,http://wreg.com/2018/06/02/man-shot-in-the-medical-district/
"June 2, 2018",Mississippi,Vicksburg,198 Greenhill Pl,0,2,http://www.gunviolencearchive.org/incident/1131559,http://www.wmcactionnews5.com/story/38332792/three-in-custody-after-warren-county-shooting-injures-three
"June 2, 2018",Illinois,Chicago,3500 block of S Ashland Ave,0,2,http://www.gunviolencearchive.org/incident/1131573,https://chicago.suntimes.com/crime/2-men-wounded-in-shooting-on-near-west-side/
"June 2, 2018",Kansas,Kansas City,1900 block of N 41st Terrace,1,0,http://www.gunviolencearchive.org/incident/1133826,http://www.kake.com/story/38857461/kansas-woman-faces-2-murder-counts-in-death-of-pregnant-woman
"June 2, 2018",Illinois,Rockford,900 block of N Rockton Ave,0,0,http://www.gunviolencearchive.org/incident/1131422,http://www.rrstar.com/news/20180602/police-standoff-in-northwest-rockford-is-resolved
"June 2, 2018",District of Columbia,Washington,3200 block of 11th St NW,0,1,http://www.gunviolencearchive.org/incident/1131584,https://www.popville.com/2018/06/shooting-11th-street-columbia-heights/
"June 2, 2018",Tennessee,Johnson City,1519 Dry Creek Rd,1,0,http://www.gunviolencearchive.org/incident/1134538,http://www.johnsoncitypress.com/law-enforcement/2018/06/06/Altercation-preceded-fatal-Dry-Creek-Road-shooting.html
"June 2, 2018",California,Salinas,1700 Block of Klamath Drive,1,0,http://www.gunviolencearchive.org/incident/1132684,https://www.thecalifornian.com/story/news/2018/06/08/incident-homicide-arrests-date-friday-6-8-2018-time-1-23-pm-location-1600-block-siskiyou-drive-e/686513002/
"June 2, 2018",Illinois,Joliet,1200 block of Pawnee St,0,2,http://www.gunviolencearchive.org/incident/1131598,http://www.theherald-news.com/2018/06/02/breaking-woman-shot-overnight-at-house-party-in-joliet/apcxe8p/
"June 2, 2018",Florida,Jacksonville,W 13th St and Janette St,1,0,http://www.gunviolencearchive.org/incident/1131959,https://www.news4jax.com/news/local/jacksonville/man-charged-in-weekend-shooting-death-of-jacksonville-mother
"June 2, 2018",Texas,San Antonio,300 block of Susanwood Drive,0,1,http://www.gunviolencearchive.org/incident/1131613,https://www.ksat.com/news/14-year-old-shot-in-head-after-uninvited-graduation-party-guest-sparks-fight
