date,state,city_or_county,address,n_killed,n_injured,incident_url,source_url
"February 9, 2019",Tennessee,Collierville,282 Center St,0,2,http://www.gunviolencearchive.org/incident/1323466,https://wreg.com/2019/02/10/two-injured-in-collierville-shooting/
"February 9, 2019",New Mexico,Santa Fe,Salazar Pl and Lopez St,0,0,http://www.gunviolencearchive.org/incident/1324949,http://www.santafenewmexican.com/news/local_news/police-felon-arrested-after-chase-tossed-gun/article_33fb7122-e920-55b8-830c-aae234f6959d.html
"February 9, 2019",North Carolina,Henderson,400 block of Charles St,1,0,http://www.gunviolencearchive.org/incident/1326422,https://www.wral.com/henderson-man-wanted-in-ex-girlfriend-s-shooting-death-captured/18189859/?fbclid=IwAR3u0c8MgXWMGu7jTVvdTFvLFue6UBb4L_nz7p0TQGCN_-Su-MSRs_G8Jvw
"February 9, 2019",Texas,Vidor,Enchanted Ln and North St Service Rd,0,0,http://www.gunviolencearchive.org/incident/1324031,https://www.12newsnow.com/article/news/local/shots-fired-near-birthday-party-at-claiborne-west-park-in-vidor/502-bccbcc75-0f14-46cc-a697-effac731bfde
"February 9, 2019",Alabama,Mobile,2000 block of Hathcox St,0,1,http://www.gunviolencearchive.org/incident/1324040,https://mynbc15.com/news/local/mfrd-man-shot-on-hathcox-street-in-mobile
"February 9, 2019",New Jersey,Paterson,Ellison St and Prospect St,0,1,http://www.gunviolencearchive.org/incident/1323421,https://www.rlsmedia.com/article/25-year-old-man-injures-paterson-shooting
"February 9, 2019",Illinois,Naperville,2600 block of High Meadow Rd,0,0,http://www.gunviolencearchive.org/incident/1324061,https://chicago.suntimes.com/crime/masked-duo-broke-into-naperville-home-robbed-resident-at-gunpoint/
"February 9, 2019",Indiana,East Chicago,5000 block of Northcote St,1,0,http://www.gunviolencearchive.org/incident/1323383,https://chicago.suntimes.com/crime/east-chicago-indiana-shooting-nathan-zapeda/
"February 9, 2019",Illinois,Chicago,600 block of N Ridgeway Ave,0,1,http://www.gunviolencearchive.org/incident/1323389,https://chicago.suntimes.com/news/man-25-shot-in-east-garfield-park-drive-by/
"February 9, 2019",Illinois,Urbana,1201 N Brookstone Ct,0,0,http://www.gunviolencearchive.org/incident/1474298,https://www.news-gazette.com/news/gun-related-violence-leads-to--year-prison-term/article_d7f37618-1ee8-5302-8bff-3e0205045fcf.html
"February 9, 2019",Indiana,Cloverdale,N/A,0,0,http://www.gunviolencearchive.org/incident/1323394,https://fox59.com/2019/02/09/putnam-county-drug-arrests-stem-from-failure-to-wear-seatbelts/
"February 9, 2019",Indiana,Lafayette,3216 Crosspoint Ct N,0,0,http://www.gunviolencearchive.org/incident/1323005,https://www.wthr.com/sites/default/files/styles/article_image/public/images/2019/02/09/lafayette-k9-drugs-430.jpg?itok=IK4eKY0V
"February 9, 2019",Louisiana,Opelousas,Christ the King Rd,0,0,http://www.gunviolencearchive.org/incident/1327011,https://www.brproud.com/news/woman-and-her-brother-charged-for-attempted-murder-of-ex-boyfriend-in-louisiana/1782067951
"February 9, 2019",Connecticut,Hartford,35 Sumner St,0,1,http://www.gunviolencearchive.org/incident/1323328,https://www.wtnh.com/news/connecticut/hartford/police-arrest-assault-suspect-in-hartford/1807189225
